2018.11.14 21:11:27	 0KB	 0KB
2018.11.14 21:11:28	 0KB	 0KB
2018.11.14 21:11:29	 2KB	 0KB
2018.11.14 21:11:30	 9KB	 3KB
2018.11.14 21:11:31	 2KB	 1KB
2018.11.14 21:11:32	 0KB	 0KB
2018.11.14 21:11:33	 0KB	 0KB
2018.11.14 21:11:34	 0KB	 0KB
2018.11.14 21:11:35	 2KB	 1KB
2018.11.14 21:11:36	 3KB	 28KB
2018.11.14 21:11:37	 0KB	 0KB
2018.11.14 21:11:38	 0KB	 0KB
2018.11.14 21:11:39	 0KB	 0KB
2018.11.14 21:11:40	 5KB	 5KB
2018.11.14 21:11:41	 0KB	 0KB
2018.11.14 21:11:42	 0KB	 0KB
2018.11.14 21:11:43	 1KB	 1KB
2018.11.14 21:11:44	 0KB	 0KB
2018.11.14 21:11:45	 1KB	 0KB
2018.11.14 21:11:46	 1KB	 0KB
2018.11.14 21:11:47	 0KB	 0KB
2018.11.14 21:11:48	 0KB	 0KB
2018.11.14 21:11:49	 4KB	 0KB
2018.11.14 21:11:50	 0KB	 0KB
2018.11.14 21:11:51	 3KB	 0KB
2018.11.14 21:11:52	 0KB	 0KB
2018.11.14 21:11:53	 1KB	 0KB
2018.11.14 21:11:54	 9KB	 0KB
2018.11.14 21:11:55	 6KB	 0KB
2018.11.14 21:11:56	 2KB	 0KB
2018.11.14 21:11:57	 0KB	 0KB
2018.11.14 21:11:58	 0KB	 0KB
2018.11.14 21:11:59	 0KB	 0KB
2018.11.14 21:12:00	 0KB	 0KB
2018.11.14 21:12:01	 0KB	 0KB
2018.11.14 21:12:02	 2KB	 0KB
2018.11.14 21:12:03	 0KB	 0KB
2018.11.14 21:12:04	 0KB	 0KB
2018.11.14 21:12:05	 0KB	 0KB
2018.11.14 21:12:06	 0KB	 0KB
2018.11.14 21:12:07	 2KB	 0KB
2018.11.14 21:12:08	 0KB	 0KB
2018.11.14 21:12:09	 0KB	 0KB
2018.11.14 21:13:20	 2KB	 0KB
2018.11.14 21:13:21	 0KB	 0KB
2018.11.14 21:13:22	 2KB	 0KB
2018.11.14 21:13:23	 0KB	 0KB
2018.11.14 21:13:24	 0KB	 0KB
2018.11.14 21:13:25	 1KB	 0KB
2018.11.14 21:13:26	 1KB	 0KB
2018.11.14 21:13:27	 4KB	 0KB
2018.11.14 21:13:28	 0KB	 0KB
2018.11.14 21:13:29	 1KB	 0KB
2018.11.14 21:13:30	 2KB	 0KB
2018.11.14 21:13:31	 0KB	 0KB
2018.11.14 21:13:32	 0KB	 0KB
2018.11.14 21:13:33	 2KB	 0KB
2018.11.14 21:13:34	 2KB	 1KB
2018.11.14 21:13:35	 0KB	 0KB
2018.11.14 21:13:36	 0KB	 0KB
2018.11.14 21:13:37	 5KB	 38KB
2018.11.14 21:13:38	 3KB	 0KB
2018.11.14 21:13:39	 0KB	 0KB
2018.11.14 21:13:40	 1KB	 0KB
2018.11.14 21:13:41	 0KB	 0KB
2018.11.14 21:13:42	 2KB	 5KB
2018.11.14 21:13:43	 3KB	 1KB
2018.11.14 21:13:59	 4KB	 1KB
2018.11.14 21:14:00	 0KB	 0KB
2018.11.14 21:14:01	 0KB	 0KB
2018.11.14 21:14:20	 63KB	 49KB
2018.11.14 21:14:21	 0KB	 0KB
2018.11.14 21:14:22	 0KB	 1KB
2018.11.14 21:14:23	 1KB	 2KB
2018.11.14 21:14:24	 0KB	 0KB
2018.11.14 21:14:25	 39KB	 12KB
2018.11.14 21:14:26	 50KB	 10KB
2018.11.14 21:14:41	 0KB	 0KB
2018.11.14 21:14:42	 2KB	 0KB
2018.11.14 21:14:43	 1KB	 5KB
2018.11.14 21:14:44	 0KB	 0KB
2018.11.14 21:15:15	 7KB	 1KB
2018.11.14 21:15:15	 0KB	 0KB
2018.11.14 21:15:16	 0KB	 0KB
2018.11.14 21:15:17	 3KB	 0KB
2018.11.14 21:15:18	 0KB	 0KB
2018.11.14 21:15:19	 4KB	 0KB
2018.11.14 21:15:20	 3KB	 0KB
2018.11.14 21:15:21	 0KB	 0KB
2018.11.14 21:15:22	 0KB	 0KB
2018.11.14 21:15:23	 0KB	 0KB
2018.11.14 21:15:24	 3KB	 0KB
2018.11.14 21:15:25	 0KB	 0KB
2018.11.14 21:15:26	 0KB	 0KB
2018.11.14 21:15:27	 0KB	 0KB
2018.11.14 21:15:28	 0KB	 0KB
2018.11.14 21:15:29	 1KB	 0KB
2018.11.14 21:15:30	 1KB	 0KB
2018.11.14 21:15:31	 0KB	 0KB
2018.11.14 21:15:32	 0KB	 0KB
2018.11.14 21:15:33	 0KB	 0KB
2018.11.14 21:15:34	 0KB	 0KB
2018.11.14 21:17:49	 2KB	 0KB
2018.11.14 21:17:49	 0KB	 0KB
2018.11.14 21:17:50	 1KB	 0KB
2018.11.14 21:17:51	 3KB	 0KB
2018.11.14 21:17:52	 14KB	 0KB
